Metric,TF-IDF + NB,DistilBERT,Improvement,Improvement %
Accuracy,0.9802867383512545,0.9910394265232975,0.010752688172043001,1.09689213893967
Precision,1.0,0.972972972972973,-0.027027027027026973,-2.7027027027026973
Recall,0.8533333333333334,0.96,0.10666666666666658,12.49999999999999
F1 Score,0.920863309352518,0.9664429530201343,0.04557964366761624,4.949664429530201
ROC-AUC,0.9944375431331953,0.9935403726708075,-0.0008971704623877974,-0.09021888489457704
PR-AUC,0.9810157217930192,0.9880402163328992,0.007024494539879966,0.716043013769563
